,id,gender,birthday,age,agreement_status,renewal_agreement_status,sequence_agreement_number,expense_all,expense_in_contract,visits_on_contract,saledate,enddate
0,10ca99cf-d74c-4424,Мужской,1974-12-15T00:00:00,48,Активен,Не продлено,2,29655.72,2655.72,10,2022-12-31T19:42:35,2024-03-30T23:59:59
1,ecce2112-0f09-409a,Женский,1979-10-03T00:00:00,43,Активен,Не продлено,1,7693.14,7693.14,11,2022-12-31T18:17:45,2024-02-16T23:59:59
2,cefeeaf5-0001-4364,Мужской,1976-03-24T00:00:00,47,Активен,Не продлено,1,6953.18,6953.18,19,2022-12-31T18:12:07,2024-01-31T23:59:59
3,4ae2eee8-d209-4e94,Женский,1972-01-03T00:00:00,51,Активен,Не продлено,6,78130.36,22930.36,18,2022-12-31T18:04:05,2024-02-25T23:59:59
4,e5f22aa5-2e12-4056,Мужской,1992-11-15T00:00:00,30,Активен,Не продлено,2,58256.36,24756.36,9,2022-12-31T17:41:21,2024-01-13T23:59:59
5,4e12bb2f-3f95-408f,Женский,1999-11-21T00:00:00,23,Активен,Не продлено,2,57831.71,24331.71,11,2022-12-31T17:36:55,2024-01-23T23:59:59
6,af5a2c58-48b0-46c4,Женский,1980-02-14T00:00:00,43,Активен,Не продлено,1,7340.81,7340.81,9,2022-12-31T17:22:06,2024-04-22T23:59:59
7,7d5f48a6-9ff1-4e0c,Мужской,2001-07-22T00:00:00,21,Активен,Не продлено,1,9172.28,9172.28,78,2022-12-31T17:17:15,2024-01-01T23:59:59
8,67414a0c-2bd9-448e,Мужской,1995-07-21T00:00:00,27,Активен,Не продлено,1,8432.58,8432.58,27,2022-12-31T17:10:50,2024-01-11T23:59:59
9,9c5034a0-421e-45a4,Мужской,2004-03-24T00:00:00,19,Активен,Не продлено,3,72090.37,8950.37,60,2022-12-31T16:48:47,2024-01-04T23:59:59
10,38f8068e-aa1e-4a40,Мужской,1985-09-29T00:00:00,37,Активен,Не продлено,1,12230.12,12230.12,12,2022-12-31T16:30:59,2024-01-01T23:59:59
11,d5f875d7-d3a6-4cf6,Женский,1988-05-21T00:00:00,34,Активен,Не продлено,2,66412.04,27212.04,27,2022-12-31T16:25:16,2024-10-04T23:59:59
12,e927280b-046b-4584,Женский,1984-02-03T00:00:00,39,Активен,Продлено,2,71953.18,6953.18,7,2022-12-31T16:19:59,2024-01-31T23:59:59
13,036c2615-89f2-4094,Мужской,2019-08-08T00:00:00,3,Активен,Не продлено,1,0.0,0.0,10,2022-12-31T16:06:44,2024-03-31T23:59:59
14,47806219-feff-4682,Женский,2017-03-14T00:00:00,6,Активен,Не продлено,2,22750.0,0.0,7,2022-12-31T16:00:10,2024-03-31T23:59:59
15,7c2c8a8c-8133-4bbc,Мужской,1979-08-10T00:00:00,43,Продан,Не требует продления,0,356370.0,300000.0,0,2022-12-31T15:30:24,0001-01-01T00:00:00
16,e6c1c384-4db8-44b4,Мужской,2021-01-30T00:00:00,2,Активен,Не продлено,1,6726.96,6726.96,20,2022-12-31T15:28:45,2024-01-01T23:59:59
17,65e2b5d7-7727-4e92,Мужской,1989-07-17T00:00:00,33,Активен,Не продлено,1,9172.28,9172.28,22,2022-12-31T15:19:41,2024-01-01T23:59:59
18,b126d827-3b07-4c15,Женский,1947-09-02T00:00:00,75,Активен,Не продлено,1,9098.31,9098.31,1,2022-12-31T15:17:05,2024-01-02T23:59:59
19,fcc5b0ae-8279-4610,Мужской,1978-01-01T00:00:00,45,Активен,Не продлено,2,32065.54,6065.54,6,2022-12-31T15:07:04,2024-02-12T23:59:59
20,88b244f1-512f-4d12,Женский,1973-04-10T00:00:00,50,Активен,Не продлено,2,35680.71,10680.71,11,2022-12-31T14:39:06,2023-10-03T23:59:59
21,defdcab2-aad3-43a5,Женский,1970-03-30T00:00:00,53,Активен,Не продлено,2,27251.76,4351.76,0,2022-12-31T14:26:56,2024-02-18T23:59:59
22,d82aa5dc-5373-4c0c,Женский,1995-07-06T00:00:00,27,Активен,Не продлено,5,125510.32,8267.32,19,2022-12-31T13:50:34,2024-04-09T23:59:59
23,bd53f646-b865-4386,Женский,2017-01-16T00:00:00,6,Активен,Не продлено,4,76989.38,5539.38,7,2022-12-31T13:35:43,2024-07-16T23:59:59
24,38c757ce-90c9-4e18,Женский,1970-04-11T00:00:00,53,Активен,Не продлено,4,95671.37,8481.13,91,2022-12-31T13:34:42,2024-04-06T23:59:59
25,c02142fa-4d98-4c48,Женский,1993-10-05T00:00:00,29,Активен,Не продлено,5,83073.29,7173.29,15,2022-12-31T13:34:32,2024-07-16T23:59:59
26,1fbaa490-bf7b-427f,Женский,1957-05-10T00:00:00,65,Активен,Не продлено,5,178447.48,23397.48,0,2022-12-31T13:14:45,2024-02-14T23:59:59
27,5589b733-7b84-493a,Женский,1995-05-25T00:00:00,27,Активен,Не продлено,2,56959.1,24459.1,14,2022-12-31T12:32:43,2024-01-20T23:59:59
28,de4719a6-c321-4142,Женский,1967-04-16T00:00:00,56,Активен,Не продлено,1,5754.06,5754.06,0,2022-12-31T12:25:26,2024-07-08T23:59:59
29,bd6f867f-cc20-4b54,Женский,1984-03-03T00:00:00,39,Активен,Не продлено,3,51707.45,11457.45,25,2022-12-31T12:21:10,2024-01-02T23:59:59
